date,ticker,ret
2016-01-15,CAI_old,-0.37797296295517036
2016-01-15,MEP,-0.3732351640078301
2016-01-19,PHH_old,-0.33807849983488314
2016-01-20,SPLP,-0.30700368583326076
2016-01-27,ZVO,-0.3183131243591171
2016-02-02,PLCM,-0.30612242911965226
2016-02-08,LLNW,-0.3150883522882616
2016-02-08,EGIO,-0.3150883522882616
2016-02-08,EGIOQ,-0.3150883522882616
2016-02-09,C-WS-A,-0.3981068715614604
2016-03-24,SXCL,-0.3420801886446888
2016-05-04,PTSI,-0.30393539500671796
2016-05-12,NIHD,-0.40823354485682617
2016-05-19,PHH_old,-0.4016546087256804
2016-05-19,SSI,-0.450574224591902
2016-06-07,C-WS-A,-0.31895842317281176
2016-06-27,ZVO,-0.31349205072714825
2016-07-26,MEMP,-0.35414035589198367
2016-08-04,BBRG,-0.4144444465637207
2016-08-11,C-WS-A,-0.3064534895762111
2016-10-25,C-WS-A,-0.48168025690483685
2016-10-27,GNC,-0.38238739434906743
2016-10-28,MEMP,-0.39982004590531994
2016-11-02,CAI_old,-0.3035014186459355
2016-11-02,DYN_old,-0.4146481285496788
2016-11-02,NIHD,-0.3020417200205765
2016-11-03,HMHC,-0.4017914067171986
2017-01-13,SSI,-0.3117150069493654
2017-02-16,GNC,-0.3007246542693036
2017-03-10,WAC,-0.31034482961116516
2017-03-10,DHCP,-0.31034482961116516
2017-03-10,NIHD,-0.3720930400186122
2017-04-05,JMBA,-0.3001618237216308
2017-04-13,C-WS-A,-0.3292135022789252
2017-04-20,PHH_old,-0.33176463759926833
2017-04-28,NIHD,-0.3363076663496922
2017-05-15,JCP,-0.3022719600943766
2017-05-15,CPPRQ,-0.3022719600943766
2017-05-24,CHS,-0.3152696116164191
2017-05-24,KIRK,-0.30322575732894885
2017-05-31,DNR,-0.33294841516656837
2017-06-02,CKH,-0.35809654457558526
2017-08-17,ATW,-0.3176808067391542
2017-08-21,DNR,-0.3137810487048216
