date,ticker,ret,gross_ret,type
2012-01-31,LAYN,-0.07126968240771336,-0.06788946060561041,stop
2012-02-03,JBT,0.05289528882168315,0.05289528882168315,target
2012-02-03,SYA,0.09780212663075671,0.09780212663075671,target
2012-02-06,ACO,0.07545986298942053,0.07964284079415451,target
2012-02-08,OUTD,0.05451159177727294,0.0567274796648376,target
2012-02-09,ESND,0.047879405952056864,0.05240710654163627,target
2012-02-10,OPI,0.0055084643529486055,0.0055084643529486055,target
2012-02-10,AKS,-0.0716723682792949,-0.0716723682792949,stop
2012-02-13,PKY1,0.06391138468047108,0.06391138468047108,target
2012-02-13,UMPQ,0.041844547681699984,0.041844547681699984,target
2012-02-13,HI,0.01722659507784119,0.01722659507784119,target
2012-02-14,SMA_old,0.03217509362301785,0.03217509362301785,target
2012-02-14,MHLD,0.013619092992784632,0.02277657614587536,target
2012-02-15,KNL,-0.016793937484894994,-0.011319409376382983,target
2012-02-21,ESND,-0.061061374855645445,-0.061061374855645445,stop
2012-02-22,RSO,0.011464231068004871,0.014519041811780431,target
2012-02-23,RAVN,0.02019316142200167,0.024176757008679717,target
2012-02-27,ASI,-0.06809360245626983,-0.06809360245626983,stop
2012-02-28,PMFG,0.04368401159405977,0.05118830959162746,target
2012-02-29,ALOG,-0.013050472681757297,-0.010268969186291943,target
2012-03-01,PHX,-0.060021037632258745,-0.060021037632258745,stop
2012-03-01,CLP,0.006960332615416398,0.011707305908203125,target
2012-03-01,FFG,0.008110002402080818,0.013761795152112954,target
2012-03-02,SJI,-0.0665404643543488,-0.0606618191028534,stop
2012-03-02,FDP,-0.024510578485108625,-0.02220288394111214,target
2012-03-06,FXCB,-0.008801712178773347,-0.0008327971827534197,target
2012-03-06,EQC,-0.06323914659831986,-0.06323914659831986,stop
2012-03-06,EPHC,-0.08254064192446053,-0.08254064192446053,stop
2012-03-07,BLT,0.001777803693814528,0.009157602781701524,target
2012-03-08,AMSG,0.0,0.0,target
