date,ticker,side,ret
2022-08-31,AIXND,long,0.0
2022-08-31,HMBL,long,-0.4309865881934226
2022-08-31,CNTQ,long,0.014413337739201726
2022-08-31,BRKL_old,long,-0.10139256167652522
2022-08-31,VTAQU,long,0.022900833518668895
2022-08-31,AIXN,long,0.0
2022-08-31,LHDX,long,-0.442948418468907
2022-08-31,VLD-WT,short,-0.5527985017411379
2022-08-31,VORWQ,short,0.05612584627635605
2022-08-31,HCCI,short,0.025435605674170695
2022-08-31,ZY,short,0.018638266835836494
2022-08-31,VORBQ,short,0.12973256712944461
2022-08-31,VORB,short,0.12972413072751499
2022-08-31,VBTX,short,0.011930044681141637
2022-08-31,WEJOQ,short,0.2159396402810506
2022-08-31,WEJO,short,0.2159396402810506
2022-08-31,LLAP,short,-0.00585284645814374
2022-08-31,VORBW,short,0.05612584627635605
2022-08-31,EQRXW,short,0.20129099435970588
2022-08-31,VLD,short,-0.3595244645348104
2022-08-31,ALVR,short,-0.7771531428634204
2022-08-31,DNA-WT,short,-0.015624985448084446
2022-08-31,ACRDF,short,-0.029702942250534495
2022-09-30,FARO,long,-0.5639063989523803
2022-09-30,MBCN,long,0.11685601136738377
2022-09-30,SHCO,long,-0.6237284137496035
2022-09-30,MCG,long,-0.6237289067551902
2022-09-30,IMGO,long,-0.4409105200029958
2022-09-30,VRMMQ,long,-0.917489308292981
2022-09-30,ADGI,long,-0.5806437822051513
2022-09-30,VEC,long,-0.27008452312874376
2022-09-30,BRBLD,long,-0.9447278867970159
2022-09-30,CEI,long,-0.7696396970053387
2022-09-30,VYSTD,long,-0.5578695030084898
2022-09-30,CXKJ,long,0.1428571681992541
2022-09-30,ETAC,long,0.010856425316726037
2022-09-30,VGR,long,-0.2654251151222473
2022-09-30,TAST,long,-0.21041523705045195
2022-09-30,RZA,long,0.01476977777478572
2022-09-30,AVDL,long,1.0307513426370156
2022-09-30,GWII,long,0.008056386832572038
2022-09-30,NICK,long,-0.40167034375787936
2022-09-30,QNGYQ,short,0.36590718832390756
2022-09-30,WTRH,short,0.57342859466211
2022-09-30,OILY,long,-0.09588616723641064
2022-09-30,VCKA,long,-0.0009729593186889041
2022-09-30,LGTO,long,-0.0030090958718146377
2022-09-30,PCTI,long,-0.14385874985716007
2022-09-30,UOLI,long,0.0
2022-09-30,BWAC,long,-1.1476328698467597e-07
2022-09-30,CTT,long,-0.03088409169207218
2022-09-30,GIAF,long,-0.0002750375819624562
2022-09-30,PCYG,long,-0.14398293655649652
2022-09-30,LJAQ,long,0.0029910954580476545
2022-09-30,ETACU,long,-0.014180973335360392
2022-09-30,NOACU,long,0.009081751157785645
2022-09-30,RNER,long,0.006979127653256478
2022-09-30,GIAC,long,0.006036259773603003
2022-09-30,QFTA,long,2.571616481983341e-07
2022-09-30,WAVS,long,0.0010050481480938789
2022-09-30,AACI_old,long,0.002020248336801478
2022-09-30,ENER,long,0.003805550959852022
2022-09-30,NOAC,long,0.003880245877881494
2022-09-30,KWIKD,long,-0.22084019257648424
2022-09-30,MSBSL,short,0.004780475005296884
2022-09-30,LPI,short,0.1676245204014278
2022-09-30,ONDS_old,short,0.2183465505069983
2022-09-30,QTNTQ,short,0.17443655019177728
2022-09-30,SMFR,short,0.11921051819676216
2022-09-30,ATNXQ,short,0.4142363355514601
2022-09-30,RVLP,short,0.06149265698131994
2022-09-30,MGTA,short,0.18964978597277413
2022-09-30,AVCTQ,short,0.5425556305236914
2022-09-30,RIDE,short,0.13966699514834743
2022-09-30,RKLYQ,short,0.4999295657767917
2022-09-30,RKLY,short,0.4999295657767917
2022-09-30,DCGOW,short,0.12888722662873767
2022-09-30,AXDX,short,0.03932600372623994
2022-09-30,RMO,short,0.33797346494254477
2022-09-30,QTNTF,short,0.17443655019177728
2022-09-30,GECCN,short,0.0027957524993862414
2022-09-30,DBTX,short,0.27988768198680164
2022-09-30,HYZN,short,0.17080881215316543
2022-09-30,AXDXQ,short,0.03932600372623994
2022-10-31,AINV,long,-0.18849932639449551
2022-10-31,CURO,long,-0.6224293757150514
2022-10-31,CUROQ,long,-0.6426789646201703
2022-10-31,CNVY,long,-0.09075380429835367
2022-10-31,MYOV,long,0.5907198465588468
