date,n_universe,n_long,n_short,gross_long,gross_short,friction_cost
2024-10-06,25,8,8,0.9177296578378562,1.0,0.041644106886683636
2024-10-13,25,8,8,0.9403623493250722,1.0,0.034610762940344826
2024-10-20,25,8,8,0.8999909431477479,1.0,0.057143604397265985
2024-10-27,25,8,8,0.9312517797360558,1.0,0.06564630158739428
2024-11-03,25,8,8,0.9424332590920236,1.0,0.07866054614067303
2024-11-10,25,8,8,0.9914199927049772,0.9266189287257258,0.2179005724105496
2024-11-17,25,8,8,1.0,1.0,0.18654992809175946
2024-11-24,25,8,8,1.0,1.0,0.3465280137122894
2024-12-01,25,8,8,1.0,1.0,0.1616440191334701
2024-12-08,25,8,8,1.0,1.0,0.09354416323948558
2024-12-15,25,8,8,1.0,1.0,0.10726247391853047
2024-12-22,25,8,8,1.0,1.0,0.11653531174118353
2024-12-29,25,8,8,1.0,1.0,0.084047122141982
