date,ticker,side,ret,type
2017-06-30,AREX,long,-0.027930432184838816,rebalance_exit
2017-06-30,LMIA,long,0.6229698325814756,rebalance_exit
2017-06-30,VOXX,long,0.6954164793372473,rebalance_exit
2017-06-30,ERN,long,-0.4196632409428045,rebalance_exit
2017-06-30,SYNL,long,-0.08651281552904155,rebalance_exit
2017-06-30,AVDL,long,0.13257611566955085,rebalance_exit
2017-06-30,MPG_old,long,-0.04363336932127315,rebalance_exit
2017-06-30,SGM,long,0.0037688106567113078,rebalance_exit
2017-06-30,EVRI,long,0.4824288096929543,rebalance_exit
2017-09-29,WIN,long,-0.7439274027449818,rebalance_exit
2017-09-29,WINMQ,long,-0.7439274027449818,rebalance_exit
2017-09-29,RT,long,-0.14588653817785013,rebalance_exit
2017-09-29,AIQ_old,long,0.35214985010202904,rebalance_exit
2017-09-29,RASFD,long,-0.751414623320803,rebalance_exit
2017-09-29,BBOX,long,-0.6341681814321098,rebalance_exit
2017-09-29,XRM,long,-0.2780652557199782,rebalance_exit
2017-09-29,FUEL,long,-0.5192291242503484,rebalance_exit
2017-09-29,LINDW,long,-0.13342221577962232,rebalance_exit
2017-09-29,OAS,long,0.10598064722405343,rebalance_exit
2017-12-29,MHLD,long,-0.3747451697913744,rebalance_exit
2017-12-29,ATW,long,-0.3772937787594718,rebalance_exit
2017-12-29,GCAP,long,0.6555260313024578,rebalance_exit
2017-12-29,GNC,long,-0.6657608632272943,rebalance_exit
2017-12-29,VVUSQ,long,-0.5685951223907056,rebalance_exit
2017-12-29,TESS,long,0.5580230998580007,rebalance_exit
2017-12-29,FLDM,long,0.4291924436548351,rebalance_exit
2017-12-29,SQFL,long,0.0,rebalance_exit
2018-03-29,RPT_old,long,0.22843592370795163,rebalance_exit
2018-03-29,ZEUS,long,0.10057062887200341,rebalance_exit
2018-03-29,AEGN,long,-0.007428154278570687,rebalance_exit
2018-03-29,CLD,long,-0.3646287916363178,rebalance_exit
2018-03-29,PJC,long,0.3345484272073478,rebalance_exit
2018-03-29,PCMI,long,-0.708868899877787,rebalance_exit
2018-03-29,ARII,long,-0.05487920138777347,rebalance_exit
2018-03-29,FTD,long,-0.8226689487920755,rebalance_exit
2018-03-29,LLEXQ,long,-0.02720730126939963,rebalance_exit
