date,ticker
2010-01-04,BVSN
2010-01-04,BVSN
2010-01-04,BTU_old
2010-01-04,BTUUQ
2010-01-04,BWINA
2010-01-04,BWINB
2010-01-04,BXG_old
2010-01-04,BXG_old
2010-01-04,BXG_old
2010-01-04,CAB
2010-01-04,CACB
2010-01-04,BYON
2010-01-04,CADX
2010-01-04,CALL
2010-01-04,CALP
2010-01-04,CALP
2010-01-04,CALP
2010-01-04,CASC1
2010-01-04,CASC1
2010-01-04,CASC1
2010-01-04,CASC1
2010-01-04,CASC1
2010-01-04,CASC1
2010-01-04,CBEH
2010-01-04,CBEH
2010-01-04,CBEH
2010-01-04,CBEH
2010-01-04,CBEH
2010-01-04,CBEH
2010-01-04,CBB
2010-01-04,CBB
2010-01-04,CBB
2010-01-04,CBB
2010-01-04,CBKN
2010-01-04,CBIO_old
2010-01-04,CBLAQ
2010-01-04,CBLAQ
2010-01-04,CBLAQ
2010-01-04,CBLAQ
2010-01-04,CBL_old
2010-01-04,CBL_old
2010-01-04,CBL_old
2010-01-04,CBL_old
2010-01-04,CBMG
2010-01-04,CBMG
2010-01-04,CBNJ
2010-01-04,CBPO
2010-01-04,CBPO
2010-01-04,CCIX_old
2010-01-04,CDR
2010-01-04,CDR
2010-01-04,CDXC
2010-01-04,CEC
2010-01-04,CEC
2010-01-04,CEDCQ
2010-01-04,CEDCQ
2010-01-04,CECO_old
2010-01-04,CECO_old
2010-01-04,CECO_old
2010-01-04,CECO_old
2010-01-04,CECO_old
2010-01-04,CETC
2010-01-04,CERN
2010-01-04,CERN
2010-01-04,CETV
2010-01-04,CETV
2010-01-04,CETV
2010-01-04,CFSG
2010-01-04,CFSG
2010-01-04,CFSG
2010-01-04,CGA
2010-01-04,CGA
2010-01-04,CGFI
2010-01-04,CGFI
2010-01-04,CGG
2010-01-04,CGG
2010-01-04,CGG
2010-01-04,CGG
2010-01-04,CGG
2010-01-04,CGI
2010-01-04,CGI
2010-01-04,CGI
2010-01-04,CGIPQ
2010-01-04,CGIPQ
2010-01-04,CGIPQ
