date,net_beta_dollar
2012-12-04,2067589.2839435386
2012-12-05,2064408.490200339
2012-12-06,2064708.340161099
2012-12-07,1940767.8869431214
2012-12-10,1952610.972774772
2012-12-11,1896748.5398258083
2012-12-12,1834249.128949399
2012-12-13,1755111.5022986215
2012-12-14,1607735.4856106034
2012-12-17,1617952.456981333
2012-12-18,1731906.592900958
2012-12-19,1751335.4894068707
2012-12-20,1742053.12598088
2012-12-21,1682723.1593678612
2012-12-24,1873296.207294642
2012-12-26,1832007.5725664413
2012-12-27,1842374.1269182386
2012-12-28,1811273.8071006928
2012-12-31,826477.4113013297
2013-01-02,846120.6643584324
2013-01-03,409512.15506160446
2013-01-04,430151.50879993476
2013-01-07,166781.06116004847
2013-01-08,192682.3605423933
2013-01-09,245433.6072219191
2013-01-10,334032.85270228423
2013-01-11,616736.3285909798
2013-01-14,715620.0221524378
2013-01-15,728917.5235800976
2013-01-16,723443.379278684
2013-01-17,690081.2958636954
2013-01-18,643778.6864313465
2013-01-22,525664.7124341261
2013-01-23,482081.87892533373
2013-01-24,590561.013575267
2013-01-25,712380.5893992893
2013-01-28,505527.32406505663
2013-01-29,384628.818111158
2013-01-30,332125.04074034095
2013-01-31,191081.6212171819
2013-02-01,372033.5744370008
2013-02-04,550396.9514749125
2013-02-05,483683.6553275557
2013-02-06,398450.689296999
2013-02-07,418820.6154407924
2013-02-08,483621.6376312692
2013-02-11,467594.0636223247
2013-02-12,567904.2764356891
2013-02-13,586620.3511552969
2013-02-14,511270.3740316136
2013-02-15,512001.2390893018
2013-02-19,555843.6775837308
2013-02-20,587149.4365161434
2013-02-21,753545.4561887877
2013-02-22,673526.3735430315
2013-02-25,595950.4728864785
2013-02-26,768765.8666632837
2013-02-27,876722.2936011152
2013-02-28,902678.3073157268
2013-03-01,800904.5784633132
2013-03-04,798032.6164441248
2013-03-05,778492.7275701389
2013-03-06,726269.5165956821
2013-03-07,914787.7424447127
2013-03-08,863465.2389748106
2013-03-11,976623.0511964243
2013-03-12,1060475.16971316
2013-03-13,1216408.1139195757
2013-03-14,1205706.022920791
2013-03-15,1299040.1151769394
2013-03-18,1326408.5860497802
2013-03-19,1511721.3003762076
2013-03-20,1481235.2959783534
2013-03-21,1388305.1690477123
2013-03-22,1298210.7242873972
2013-03-25,1220868.5206536483
2013-03-26,1272078.6349129695
2013-03-27,1303434.5093958965
2013-03-28,650015.6060313089
2013-04-01,759292.7823555451
2013-04-02,590484.5160115678
2013-04-03,668667.8703694958
2013-04-04,617013.4227429954
2013-04-05,727830.1262755338
2013-04-08,710934.8207459664
2013-04-09,625588.1892964784
2013-04-10,753288.564872006
2013-04-11,811534.0970863318
2013-04-12,780706.2829890642
2013-04-15,762220.5473596482
2013-04-16,888639.1460196385
2013-04-17,798774.0510173533
2013-04-18,826771.2833498307
2013-04-19,731049.5581789725
2013-04-22,829838.5469373567
2013-04-23,823777.0126610715
2013-04-24,876354.3947490538
2013-04-25,947684.7660529371
