date,ticker,price,entry_price
2013-08-09,GENTY,18.12,8.018014839937521
2013-08-12,BETS_old,1399.0,551.321609264209
2013-08-14,OSIR,22.1779,7.7140004168381155
2013-08-15,INSY,8.1867,3.6939150241543723
2013-08-26,FRM,9.88,4.882823248857016
2013-08-29,ZLC,12.5,5.519999980926514
2013-09-05,SPA,21.31,10.012025011894483
2013-09-05,ROCM,19.89,9.464236813299088
2013-09-10,BLOX_old,41.93,20.567820001418845
2013-09-12,SNCR,332.37,164.85668039051234
2013-09-17,ECIGQ,83.55,30.0
2013-09-18,ROLL,62.2521,30.066661186295345
2013-09-20,EOPN,24.76,12.855840474027984
2013-09-24,PETX,19.22,8.170000076293945
2013-09-26,GCAP,10.6913,5.067559741332894
2013-10-02,DYAX,7.14,3.4800000190734863
2013-10-10,TDCH,75.0,35.0
2013-10-15,HPY,40.2678,20.036219191543143
2013-10-21,FOE,10.4,5.188110038865901
2013-10-21,EFII,34.63,17.219999313354492
2013-10-21,EQM,33.8424,16.760422320497778
2013-10-23,STEL_old,23.2168,11.594400405883789
2013-10-25,PRO,36.17,17.710196159213247
2013-10-28,CTCT,27.66,12.597788411312669
2013-10-29,BREW_old,17.5,8.694905080050782
2013-10-30,SONC,17.7437,8.904399871826172
2013-11-12,IL,10.97,5.482928770619135
2013-11-14,AKRX,21.5,10.760000228881836
2013-11-14,CPLA,59.1394,29.22843423925832
2013-11-14,SMRTQ,15.98,7.843291445008031
2013-11-14,AKRXQ,21.5,10.760000228881836
2013-11-15,DWRE,64.37,30.598187025315767
2013-11-22,SHLO,20.76,9.896472615153984
2013-11-26,AIRM,55.48,27.443148137559998
2013-11-26,ERN,17.4714,8.524361554527568
2013-11-26,VPCO,42.5,17.27643289604595
2013-11-27,CIR,78.2657,39.264471826342785
2013-11-29,SNAK,12.79,6.249528911783116
2013-11-29,NTUS,23.03,11.217686445696467
2013-12-02,PRFT,21.27,10.285464221010956
2013-12-04,DSOX,1.16,0.5602746509183908
2013-12-06,CALD,12.08,5.849999904632568
2013-12-12,COOP,24.4872,10.123884091669938
2013-12-12,NSTGQ,16.26,7.718607300822449
2013-12-12,NSTG,16.26,7.718206537567683
