date,vol60,median730,scale
2017-06-04,1.059797259140448,,1.0
2017-06-11,1.037452609500735,,1.0
2017-06-18,1.064028602162509,,1.0
2017-06-25,1.1064276394234196,,1.0
2017-07-02,1.1037897596197517,,1.0
2017-07-09,0.9765710914485084,,1.0
2017-07-16,1.0983253050236084,,1.0
2017-07-23,1.1797052321209662,,1.0
2017-07-30,1.1033286144596834,,1.0
2017-08-06,1.0826535465591924,,1.0
2017-08-13,1.0699297154043392,,1.0
2017-08-20,1.0327234084934265,,1.0
2017-08-27,1.0243451470715272,,1.0
2017-09-03,1.0729922822108389,,1.0
2017-09-10,1.0980923423087394,,1.0
2017-09-17,1.1485474359392533,,1.0
2017-09-24,1.152691745903953,,1.0
2017-10-01,1.1875731623141406,,1.0
2017-10-08,1.1523965645934797,0.5543532973142045,0.4810438648867012
2017-10-15,1.1618143477257143,0.5664632286526516,0.4875677682596363
2017-10-22,1.1591728851151508,0.5735552911276525,0.49479702164589207
2017-10-29,1.158500329336864,0.5755039901880988,0.4967663587264774
2017-11-05,1.0339789836618078,0.5763225560581466,0.5573832400510853
2017-11-12,1.0316232019611569,0.5767065814307761,0.5590283160890855
2017-11-19,0.7099631385052246,0.5767065814307761,0.8123049636703528
2017-11-26,0.6362041900428509,0.5767065814307761,0.9064803257456268
2017-12-03,0.713904466816961,0.5767065814307761,0.8078203852710153
2017-12-10,0.7320509569629527,0.5767065814307761,0.7877956799938475
2017-12-17,1.1349518212124072,0.5767065814307761,0.5081330948609888
2017-12-24,1.240948240868371,0.5767065814307761,0.46473056847819666
2017-12-31,1.3069421462899118,0.5767065814307761,0.4412640475845887
2018-01-07,1.3222734259107585,0.5782514398045644,0.4373160864261301
