date,ticker,side
2017-02-06,CCMP,long
2017-02-08,BKMU,long
2017-02-13,ATLXD,long
2017-02-17,PME,short
2017-02-23,HLWD,long
2017-02-23,PCMI,long
2017-03-14,PTSCD,long
2017-03-23,ACMBD,long
2017-04-25,CPLA,long
2017-04-27,KMG,long
2017-04-27,CCF,long
2017-07-21,VVI,long
2017-07-25,TOGL,long
2017-07-27,TOGL,long
2017-08-09,CUTR,long
2017-08-09,MIME,long
2017-08-09,CUTRQ,long
2017-08-23,LLPP,long
2017-10-11,MFSF,long
2017-10-17,TRXC,short
2017-10-17,ASXC,short
2017-10-30,TVTY,long
2017-11-22,TRHC,long
2017-11-24,SGH,long
2017-11-24,AMPED,short
2017-11-29,GOPHD,long
2017-12-04,FMI,long
2017-12-22,NTVA,long
2018-01-08,TFVRD,long
2018-01-08,DENN,long
2018-01-18,SRNEQ,short
2018-02-15,SMPRD,long
2018-02-16,ABCD,long
2018-03-06,POETD,long
2018-04-04,SSOKD,long
2018-04-23,FFKT,long
2018-04-27,TLRD,long
2018-04-30,ASDND,long
2018-05-07,FFG,long
2018-05-08,XOXO,long
2018-05-09,DTSSD,long
2018-05-09,URSL,long
2018-05-10,CLUBQ,long
2018-05-10,CLUB_old,long
2018-05-15,TLRDQ,long
2018-05-17,ABAX,long
2018-05-31,RTEC,long
2018-06-13,FLUXD,long
2018-06-25,NWY,long
2018-06-25,RTW,long
2018-07-20,CDMO,short
2018-08-01,NVOSD,long
2018-08-22,SSOKD,long
2018-08-24,VSI,long
2018-08-31,HNGR,long
2018-09-26,OASMY,long
2018-10-02,RST,long
2018-10-22,FPTAD,long
2018-11-13,EWLUD,long
2019-01-22,CXUS,long
2019-02-13,VYSTD,long
2019-02-13,VRUSD,long
2019-02-19,DRVD,long
2019-03-05,RGRXD,short
2019-03-05,JMU,long
2019-04-03,LBSRD,long
2019-04-03,DBDQQ,long
2019-04-03,DBD_old,long
2019-04-18,URSL,long
2019-05-02,URSLD,long
2019-05-03,PRFT,long
2019-05-09,CCRD,long
2019-05-09,INS,long
2019-05-13,AIXN,long
2019-05-16,AIXN,long
2019-06-11,PRVB,long
2019-06-24,CVRS,short
2019-07-25,CSGS,long
2019-09-06,FDBLD,long
2019-09-13,FDBLD,long
2019-09-23,DRRX,short
2019-10-17,NINK,long
2019-11-19,KRTX,long
2019-12-10,FTSV,short
2019-12-10,THOR_old,long
2019-12-24,ITCI,short
2020-01-06,BRTXD,long
2020-01-16,GMVPD,long
2020-01-16,MMMMD,long
2020-02-24,IGMS,long
2020-03-06,CBB,long
2020-05-29,BBRWD,long
2020-06-11,BYRND,long
2020-06-16,HGEN,short
2020-06-23,VYSTD,long
2020-06-25,TBIO_old,short
2020-06-25,NHIQ,long
2020-07-07,SRNEQ,short
2020-07-13,CVLBD,short
2020-07-29,OMI,long
2020-07-30,TUP,long
2020-07-30,TUPBQ,long
2020-08-06,BRTXD,long
2020-08-10,DSKE,long
2020-08-10,BRTXD,long
2020-08-10,NVOSD,long
2020-08-11,REGI,long
2020-08-28,BRTXD,long
2020-09-16,CLCT,long
2020-09-18,FPFID,long
2020-09-18,ROAG,long
2020-09-28,TFFP,long
2020-09-30,AXNX,long
2020-10-08,NLS,long
2020-10-08,BFX,long
2020-10-08,BFXXQ,long
2020-10-09,TROV,short
2020-10-23,SMLR,long
2020-11-20,FUV,short
2020-12-14,SHYF,long
2020-12-22,ABMLD,long
2021-01-05,RYI,long
2021-01-06,KRA,long
2021-01-08,DMTK,short
2021-01-08,BFGCD,long
2021-01-12,ZOM,short
2021-01-13,QEP,long
2021-01-14,ACRHF,short
2021-01-20,CURIW,short
2021-01-21,SUNW,short
2021-01-21,MWK,short
2021-01-22,FPVD,long
2021-01-25,KIRK,long
2021-01-26,TCS,long
2021-01-26,ABMLD,long
2021-01-26,TCSGQ,long
2021-01-28,EXPRQ,long
2021-02-02,TONJ,long
2021-02-03,CCIV,long
2021-02-04,XONE_old,short
2021-02-08,RESN,short
2021-02-09,NRXPW,long
2021-02-10,BRBLD,long
2021-02-10,ASTID,long
2021-02-11,TRCH,short
2021-02-11,EGOV,long
2021-02-12,TMBRQ,short
2021-02-17,TONJ,long
2021-02-19,BCOV,long
2021-02-23,REVG,long
2021-02-26,CDMO,long
2021-02-26,PAND,long
2021-03-02,EWLUD,long
2021-03-10,IHC,long
2021-03-16,HIBB,long
2021-04-09,MHLD,long
2021-04-19,RFP,long
2021-04-26,SUICD,long
2021-05-10,NTP,long
2021-05-17,DTRCD,long
2021-06-21,SYKE,long
2021-06-22,TRCH,short
2021-06-24,MOXC,long
2021-06-30,CEREW,short
2021-07-12,SGOC,long
2021-07-30,CYBE,long
2021-08-09,GDEN,long
2021-08-30,SPRT,long
2021-09-16,CRCQW,short
2021-10-20,ASLEW,short
2021-11-04,ISEE,short
2021-11-16,OASPW,long
2021-11-17,PROG,short
2022-03-09,HPKEW,short
2022-03-11,NR,long
2022-05-06,CMLS,long
2023-02-21,MHUA,long
2023-05-03,LEJU,long
2023-12-28,CIFRW,short
2024-02-13,ALPN,short
2024-07-16,MCBC,long
2024-08-09,COMM,short
2024-10-11,AVPTW,short
2024-10-22,GATO,long
2024-11-27,PSTX,short
2025-08-13,USARW,long
2025-10-14,USARW,long
2025-10-14,EOSEW,short
